,0
0,4151
1,4502
2,4503
3,4506
4,4507
5,4519
6,4523
7,4568
8,4578
9,6479
10,6501
11,6503
12,6504
13,6506
14,6594
15,6645
16,6674
17,6701
18,6702
19,6723
20,6724
21,6752
22,6753
23,6758
24,6762
25,6770
26,6841
27,6857
28,6861
29,6902
30,6952
31,6954
32,6971
33,6976
34,6981
35,7735
36,7751
37,7752
38,8035
39,7201
40,7202
41,7203
42,7205
43,7211
44,7261
45,7267
46,7269
47,7270
48,7272
49,4543
50,4902
51,7731
52,7733
53,7741
54,7762
55,9432
56,9433
57,9434
58,9613
59,9984
60,5831
61,7186
62,8304
63,8306
64,8308
65,8309
66,8316
67,8331
68,8354
69,8411
70,8253
71,8591
72,8697
73,8601
74,8604
75,8628
76,8630
77,8725
78,8750
79,8766
80,8795
81,1332
82,2002
83,2269
84,2282
85,2501
86,2502
87,2503
88,2531
89,2801
90,2802
91,2871
92,2914
93,3086
94,3099
95,3382
96,8233
97,8252
98,8267
99,9983
100,2413
101,2432
102,3659
103,4324
104,4661
105,4689
106,4704
107,4751
108,4755
109,6098
110,6178
111,7974
112,9602
113,9735
114,9766
115,1605
116,3401
117,3402
118,3861
119,3863
120,3405
121,3407
122,4004
123,4005
124,4021
125,4042
126,4043
127,4061
128,4063
129,4183
130,4188
131,4208
132,4452
133,4631
134,4901
135,4911
136,6988
137,5019
138,5020
139,5101
140,5108
141,5201
142,5202
143,5214
144,5232
145,5233
146,5301
147,5332
148,5333
149,5401
150,5406
151,5411
152,5541
153,3436
154,5706
155,5711
156,5713
157,5714
158,5801
159,5802
160,5803
161,2768
162,8001
163,8002
164,8015
165,8031
166,8053
167,8058
168,1721
169,1801
170,1802
171,1803
172,1808
173,1812
174,1925
175,1928
176,1963
177,5631
178,6103
179,6113
180,6273
181,6301
182,6302
183,6305
184,6326
185,6361
186,6367
187,6471
188,6472
189,6473
190,7004
191,7011
192,7013
193,7003
194,7012
195,7832
196,7911
197,7912
198,7951
199,3289
200,8801
201,8802
202,8804
203,8830
204,9001
205,9005
206,9007
207,9008
208,9009
209,9020
210,9021
211,9022
212,9064
213,9147
214,9101
215,9104
216,9107
217,9201
218,9202
219,9301
220,9501
221,9502
222,9503
223,9531
224,9532
