Attributes,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Symbols,4151.jp,4502.jp,4151.jp,4502.jp,4151.jp,4502.jp,4151.jp,4502.jp,4151.jp,4502.jp
Date,,,,,,,,,,
2022/4/1,2790.26,3458.24,2837.89,3463.11,2782.33,3410.42,2798.2,3427.01,1183245.862,6162841.085
2022/4/4,2867.66,3506.05,2874.61,3508,2806.14,3456.28,2821.03,3464.09,725608.5687,5628510.251
2022/4/5,2801.18,3528.49,2881.55,3534.35,2791.26,3495.32,2878.58,3517.76,1152205.94,6433695.784
2022/4/6,2761.49,3510.93,2766.45,3524.59,2698.98,3503.12,2761.49,3518.73,1575074.489,5898647.589
2022/4/7,2840.87,3551.91,2846.82,3551.91,2743.63,3501.17,2762.48,3521.66,1195339.338,8428776.853
2022/4/8,2859.72,3605.58,2859.72,3605.58,2810.11,3557.77,2849.8,3564.6,1262962.025,10325784.54
2022/4/11,2836.9,3631.93,2859.72,3633.88,2807.13,3601.68,2854.76,3610.46,795549.1724,7855401.129
2022/4/12,2777.37,3616.31,2820.03,3628.02,2771.41,3595.82,2787.29,3609.48,879598.8316,5237241.526
2022/4/13,2859.72,3646.56,2892.47,3648.52,2757.52,3609.48,2760.5,3627.05,1260341.772,6012502.893
2022/4/14,2864.69,3669.01,2906.36,3670.96,2861.71,3636.81,2873.62,3639.73,702530.185,5043041.885
2022/4/15,2816.06,3666.08,2840.87,3676.81,2791.26,3657.3,2825.99,3662.18,403115.8715,3626665.5
2022/4/18,2747.6,3642.66,2800.19,3653.39,2722.79,3607.53,2798.2,3646.56,679048.6855,3244005.098
2022/4/19,2713.86,3632.9,2765.46,3659.25,2706.91,3619.24,2747.6,3659.25,890886.076,5634249.132
2022/4/20,2679.13,3669.01,2724.77,3670.96,2669.21,3637.78,2708.9,3638.76,1025224.44,5508403.665
2022/4/21,2727.75,3668.03,2742.64,3675.84,2684.09,3649.49,2687.07,3669.01,903785.7839,4967001.708
2022/4/22,2688.06,3647.54,2696.99,3666.08,2666.23,3638.76,2672.18,3666.08,813387.0497,3841668.586
2022/4/25,2676.15,3623.15,2706.91,3629.98,2650.35,3598.75,2671.19,3609.48,750299.4158,3851506.668
2022/4/26,2671.19,3602.65,2700.96,3622.17,2667.22,3588.02,2679.13,3615.34,884839.3379,4053289.832
2022/4/27,2637.46,3620.22,2653.33,3622.17,2603.72,3586.06,2636.46,3602.65,1581423.564,7546013.943
2022/4/28,2711.88,3677.79,2727.75,3677.79,2639.44,3600.7,2650.35,3619.24,1024619.766,6342078.644
2022/5/2,2740.65,3679.74,2762.48,3685.6,2679.13,3663.15,2711.88,3674.86,927368.0623,3960135.492
2022/5/6,2737.67,3735.36,2761.49,3741.22,2661.27,3693.4,2679.13,3717.8,1433177.702,7757327.748
2022/5/9,2606.69,3718.77,2723.78,3736.34,2606.69,3709.99,2696,3717.8,1106754.625,4134658.969
2022/5/10,2608.68,3682.67,2626.54,3719.75,2583.87,3660.23,2594.79,3696.33,1098793.087,5481656.379
2022/5/11,2732.71,3644.61,2759.5,3678.77,2619.59,3635.83,2619.59,3668.03,1664364.654,4415044.31
2022/5/12,2684.09,3528.49,2744.62,3605.58,2672.18,3515.81,2709.89,3595.82,1420479.552,7282947.726
2022/5/13,2716.84,3582.16,2757.52,3591.92,2702.94,3535.32,2732.71,3556.79,1410703.992,6121849.077
2022/5/16,2744.62,3572.4,2786.3,3604.61,2726.76,3552.89,2726.76,3552.89,803309.1529,3879586.194
2022/5/17,2705.92,3589.97,2746.6,3609.48,2681.11,3582.16,2745.61,3597.77,1002448.393,3781000.413
2022/5/18,2746.6,3600.7,2779.35,3620.22,2701.95,3581.19,2705.92,3601.68,986222.9796,5733859.713
2022/5/19,2730.73,3591.92,2743.63,3595.82,2684.09,3532.4,2689.05,3538.25,812782.3759,4825271.838
2022/5/20,2686.08,3638.76,2722.79,3644.61,2678.14,3607.53,2705.92,3629,1113506.816,5919758.473
2022/5/23,2750.57,3717.8,2758.51,3717.8,2709.89,3679.74,2728.74,3683.64,680258.0331,6304263.516
2022/5/24,2712.87,3705.11,2732.71,3708.04,2686.08,3673.89,2728.74,3693.4,1035302.337,4396597.906
2022/5/25,2703.94,3695.35,2727.75,3712.92,2691.04,3681.69,2721.8,3698.28,824674.2941,4797397.272
2022/5/26,2654.32,3670.96,2733.71,3691.45,2652.34,3664.13,2698.98,3671.94,1017464.46,3779053.293
2022/5/27,2708.9,3653.39,2713.86,3689.5,2663.25,3636.81,2689.05,3687.55,902979.5521,4792375.751
2022/5/30,2775.38,3653.39,2788.28,3668.03,2699.97,3619.24,2720.81,3657.3,1791144.596,7998053.32
2022/5/31,2755.54,3613.39,2791.26,3651.44,2730.73,3595.82,2775.38,3642.66,2516350.049,12550728.3
2022/6/1,2769.43,3624.12,2817.06,3634.85,2751.57,3600.7,2760.5,3600.7,686808.666,5866776.302
2022/6/2,2732.71,3521.66,2768.43,3603.63,2708.9,3513.86,2768.43,3595.82,559323.2717,9199734.059
2022/6/3,2724.77,3531.42,2771.41,3560.69,2713.86,3527.52,2771.41,3546.06,789300.8764,4427136.952
2022/6/6,2737.67,3560.69,2757.52,3583.14,2701.95,3538.25,2714.85,3542.15,530097.371,4858372.885
